gender,education,age,country,results_count,effective_sample_size,vaccine_accept_yes,vaccine_accept_no,vaccine_accept_dontknow,vaccine_accept_alreadytaken,time_period
all,all,all,DE,3531,2144.284,0.603646508,0.204890142,0.19146335,0,"Jul 6-Jul 19, 2020"
all,all,all,DE,5023,2793.234,0.590277338,0.202132137,0.207590525,0,"Jul 20-Aug 2, 2020"
all,all,all,DE,5037,2709.804,0.585100108,0.190543815,0.224356076,0,"Aug 3-Aug 16, 2020"
all,all,all,DE,3076,1692.894,0.56285037,0.217264116,0.219885514,0,"Aug 17-Aug 30, 2020"
all,all,all,DE,3202,1821.521,0.551077031,0.237457154,0.211465816,0,"Aug 31-Sep 13, 2020"
all,all,all,DE,1127,674.109,0.523651136,0.227476997,0.248871867,0,"Sep 14- Sep 27, 2020"
all,all,all,DE,3111,1791.889,0.559170413,0.21504562,0.225783967,0,"Sep 28- Oct 11, 2020"
all,all,all,DE,3310,2009.333,0.549022298,0.217280156,0.233697546,0,"Oct 12- Oct 25, 2020"
all,all,all,DE,3466,2111.255,0.524425786,0.231870675,0.243703539,0,"Oct 26- Nov 8, 2020"
all,all,all,DE,3257,2150.884,0.558690761,0.22416745,0.217141788,0,"Nov 9- Nov 22, 2020"
all,all,all,DE,3290,2225.335,0.528636758,0.230085158,0.241278084,0,"Nov 23- Dec 6, 2020"
all,all,all,DE,3226,2146.418,0.545290209,0.222257126,0.232452665,0,"Dec 7- Dec 20, 2020"
all,all,all,DE,3235,2031.648,0.623155703,0.176217981,0.200626317,0,"Dec 21- Jan 3, 2021"
all,all,all,DE,3241,2184.135,0.660082713,0.166375458,0.173541829,0,"Jan 4- Jan 17, 2021"
all,all,all,DE,3097,1942.893,0.645285623,0.148726637,0.180522517,0.025465223,"Jan 18- Jan 31, 2021"
all,all,all,DE,3270,2125.642,0.641774874,0.159270928,0.152455848,0.046498349,"Feb 1-Feb 14, 2021"
all,all,all,DE,3276,2109.843,0.665421773,0.142023798,0.13930128,0.053253149,"Feb 15-Feb 28, 2021"
all,all,all,DE,3225,1998.179,0.659488735,0.133969727,0.127672981,0.078868557,"Mar 1- Mar14, 2021"
